Skianlegg,1971-2000,2031-2060,2071-2100
Hovden Alpinsenter,205,190,175
Sirdal Skisenter,35,15,15
SkiStar Trysil,105,75,55
Hafjell Alpinsenter,30,30,25
Kvitfjell Alpinanlegg,115,75,65
Beitostølen Skisenter,180,150,130
Skeikampen Alpinsenter,140,105,90
Tyin-Filefjell Skisenter,165,140,120
Bjorli Skisenter,110,75,60
Sjusjøen Skisenter,175,155,135
Strandafjellet Skisenter,45,35,30
Kjemsåsen Alpinsenter,75,45,40
Narviksfjellet,35,25,25
Tryvann (Skimore Oslo),115,65,55
Holmenkollen,80,45,40
Sauda Skisenter,40,20,20
Målselv Fjellandsby,65,45,40
Tromsø Alpinpark,85,40,40
SarvesAlta,105,50,40
Oppdal Skisenter,75,50,45
Grong Skisenter,135,65,25
Granåsen Skisenter,35,20,15
Gausta Skisenter,155,135,110
Rauland Skisenter,110,90,75
Haukelifjell Skisenter,170,135,100
Myrkdalen Fjellandsby,50,45,45
Røldal Skisenter,170,105,60
Voss ski- og tursenter,85,50,50
Sogndal Skisenter - Hodlekve,100,45,40
Eikedalen Skisenter,135,65,45
Hemsedal Skisenter,130,110,95
Geilo Skisenter,155,115,95
Norefjell Skisenter,145,120,95
Skimore Kongsberg,65,45,35